"5948","郵遞區號","主要","資料集","提供","資料"
"5949","excel","漢語拼音","郵務","中英對照","中華","郵政","公司","縣市","業務","鄉鎮","主要","相關","資訊","提供"
"5956","駐外","當地","訊息","活動","提供"
"5957","傷病","職業","復工","補償","轉介及","因果關係","復健","就近","診斷","諮詢","法令","防治","預防","評估","健康","中心","工作","勞工","提供"
"5959","院長","總統","事項","人民","專載","提示","文告","條約","決定","特載","緊急命令","談話","轉載","決議","送達","涉及","規則","大類","權益"
"5972","出口值","就業人數","中小企業","家數","銷售","統計資料","年度"
"5988","採購","政府","依同法","而經","刊登","條之","101","紀錄","102","公報","條規","情形","機關"
"6006","各公","獨立","音樂","民營","整合","文化部","活動","資訊","單位"
"6007","徵選","美展","金鼎獎","大賞","創意","民營","本部","整合","其他","各級","文化部","以及","公開","所屬","活動","機關","資訊","單位"
"6008","歌唱","比賽","繪畫","舞蹈","競賽","藝文","民營","本部","整合","其他","各級","文化部","以及","所屬","機關","資訊","單位"
"6009","整合","具有","講座","美食","表演","旅遊","民營","類型","本部","其他","各級","文化部","以及","綜合","所屬","活動","機關","單位"
"6010","節目表","欣賞","電影","藝文","民營","本部","整合","其他","各級","文化部","以及","所屬","機構","機關","單位"
"6011","座談會","演講","專題","藝文","民營","本部","整合","其他","各級","文化部","以及","所屬","活動","機關","單位"
"6012","展覽","民營","本部","整合","其他","各級","文化部","以及","所屬","機關","資訊","單位"
"6013","演唱會","民營","本部","整合","其他","各級","文化部","以及","所屬","機關","資訊","單位"
"6014","親子","藝文","民營","類型","本部","整合","其他","各級","文化部","以及","所屬","機關","資訊","單位"
"6015","舞蹈","民營","類型","本部","整合","其他","各級","文化部","以及","訊息","所屬","活動","機關","單位"
"6016","戲劇","表演","民營","本部","整合","其他","各級","文化部","以及","所屬","機關","資訊","單位"
"6017","劇場","表演","音樂","民營","本部","整合","其他","各級","文化部","以及","訊息","所屬","機關","單位"
"6018","分享","隸屬於","青年節","新書","無法","民營","本部","整合","其他","各級","文化部","以及","所屬","活動","類別","機關","資訊","單位"
"6019","分類","居住","衣著","醫藥保健","食物","娛樂","教養","雜項","基本","物價指數","交通","指數","消費者","臺灣地區","通訊","包含"
"6020","所得","家庭","可支配","20","指數","下分","全體","編算","中間","最低","級別","60","基本","最高","物價指數","大類","消費者","臺灣地區","分類"
"6021","購買","頻度","每年","不到","次及","每半年","物價指數","至少","消費者","臺灣地區","每季","每月"
"6034","商品","屆數","通路","售價","得獎","規格","銷售","認證","介紹","廠商","電話","資料","名稱","欄位","包含","提供"
"6036","步道","系統","僅供參考","子步","為準","入口","原始","現況","森林","分級","資訊","網站","編號","管理","提供","資料","名稱","服務","欄位"
"6037","false","true","時令","最佳","主人","刷卡","叮嚀","寵物","的話","貼心","容納","營業時間","須知","email","停車場","美食","交通","指引","景點"
"6039","綜所稅","國稅局","申報","地區","統計","資料"
"6054","公用","國有","美化","土地","成果","資訊"
"6056","育樂中心","各地","勞工","資料"
"6057","申報","器具","衛生法","施行細則","機械","登錄","完成","設備","安全","網站","12","清單","職業","條規","案件","及其","資訊"
"6058","保證","收益率","最低","營業日","第一個","每月","公告"
"6059","博覽會","窗口","徵才","現場","聯絡","就業","訊息","提供"
"6060","訓練","課程","聯絡","職業","資訊","提供"
"6061","業務","辦事處","承保","服務項目","勞保局","給付","退休金","保費","各地","年金","國民","勞工"
"6062","年金","給付","勞保","國保","遺屬","老年","勞退","失能","身心","障礙","介紹","保險","包含"
"6063","及職","技能","檢定","發證","級別","每月","類別","情形"
"6068","顯著","有感","地震","報告"
"6069","今明","天氣預報","36","小時"
"6073","工業園區","南部","通報","園區","科學","管理局","活動","資訊","提供"
"6074","sub","ppb","sup","no","pm","指標值","微粒","懸浮","污染物","空氣污染","小時","co","degrees","nox","null","psi","sec","so","winddirec"
"6075","測站","shp","圖層","dbf","shx","地理圖","套圖","打包","zip","地理","設於","座標","監測站","空氣","位置","品質","基本資料","地址","環保署"
"6076","cdx","紫外線","中央氣象局","下載","連結","檔案","環保署","epa","http","uv","將於","本網頁","移除","舊有","opendata","31","gov","tw","設於"
"6077","紫外線","設於","測站","中央氣象局","基本資料","環保署","全國"
"6078","河川","riverpollutionindex","指標","污染","水質","監測","環保署","發布","包括","資料"
"6079","測站","shp","圖層","dbf","shx","地理圖","套圖","打包","zip","地理","監測點","設於","座標","流域","位置","河川","水質","基本資料","所屬"
"6081","祭儀","放假","公告","民族","原住","先行","其族別","及噶瑪蘭族","夏族","實施辦法","就讀","戶口名簿","戶籍謄本","族群","節日","紀念日","足資","阿美族","具有"
"6082","出臺","戶政","人口數","篩選","各縣市","內政部","民族","原住","地區","每月","統計","提供","資料"
"6083","十大","原住民","原味","嚴選","國內外","時享","特色美食","獻禮","甄選","評選","造訪","2010","遊客","原鄉","各地","民族委員會","原住","活動","行政院"
"6084","原住","文學獎","主辦","評審","得獎","民族委員會","101","民族","名單","行政院","參考","臺灣","提供"
"6085","部落","2012","拜訪","旅展","特產品","精彩","號召","遊程","周邊","台北","工藝","民宿","美食","供民眾","25","原鄉","景點","參與","國際"
"6092","書畫","描述性","文字","故宮","文物","資料"
"6093","書畫","描述性","文字","故宮","文物","資料"
"6099","景氣","信號","分數","對策","判斷","燈號","指標","綜合"
"6100","經理人","製造業","指數","nmi","pmi","數列","採購","資料"
"6133","符合","進口","食品","產品","資料集","相關","資訊","提供"
"6134","藥局","基本資料","地址","電話","名稱","提供"
"6135","銅器","描述性","文字","故宮","文物","資料"
"6136","銅器","描述性","文字","故宮","文物","資料"
"6137","物類","描述性","文字","故宮","文物","資料"
"6138","幹線","逆行","順行","南迴線","東部","西部","時刻","列車","客車","客運","行車","鐵路","包括","資料"
"6145","客家","系所及","學院","成立","學校","研究","中心","國內","資料"
"6146","海外","委會","客家","95","社團","收錄","基本資料"
"6151","代碼","產銷","產業","輔導","縣市","資訊","作物","植物","單位名稱","標章","資料","名稱","欄位","包含","單位","提供"
"6152","聯絡","廠商","電話","內容","資料","營業","名稱","欄位","包含","提供"
"6153","創業","課程","班別","計劃","開課","微型","鳳凰","研習","地點","訊息","時間","日期","包含"
"6154","安全衛生","勞動","研究所","成果","研究","報告","職業","計畫","年度"
"6155","標金","總決","額前","決標","公告","資訊"
"6156","技師","執業","人數","男女生","證書","比率","領有"
"6164","警戒","雨量","水利","值則","淹水","發布豪","一定","大雨","關注","對於","達到","進行","網站","區域","地區","發布"
"6165","水庫","洩洪","規則","運用","發布","傳播媒體","所訂","播報","時機","未訂","轉知","時會","通知","必要","居民","附近","警察","警戒","轄區"
"6166","特報","大雨","豪雨","即會","提醒","機會","防範","監控","適時","隨時","天氣","氣象預報","研判","變化","注意","觀測","中央氣象局","各界","未來"
"6167","地震","所在位置","震央","所在區域","有感","描述","中央氣象局","報告","發生","民眾","提供"
"6168","海嘯","儘速","公分","必要措施","沿海","波高","迅速","防救","採取","50","通報","我國","觀測","中央氣象局","災害","主管機關","中央","傳播","報告"
